scenario_name,fund_label,fund_weight,fund_stress_return,fund_loss_contribution,stress_loss_share,base_portfolio_value,loss_amount_inr,total_portfolio_stress_return,post_stress_portfolio_value,is_largest_loss_contributor,stress_loss_share_minus_weight
Worst 1-Month Portfolio Period,UTI Nifty 50 Index,0.25,-0.1131979655063113,-0.028299491376577824,0.30079763984267205,10000000.0,-282994.91376577824,-0.09408149409476574,9059185.059052343,True,0.05079763984267205
Worst 1-Month Portfolio Period,ICICI Bluechip,0.2,-0.1091423948220062,-0.02182847896440124,0.23201671247284833,10000000.0,-218284.7896440124,-0.09408149409476574,9059185.059052343,False,0.03201671247284832
Worst 1-Month Portfolio Period,Parag Parikh Flexi Cap,0.25,-0.0682566576477038,-0.01706416441192595,0.18137641813742542,10000000.0,-170641.64411925952,-0.09408149409476574,9059185.059052343,False,-0.06862358186257458
Worst 1-Month Portfolio Period,HDFC Balanced Advantage,0.15,-0.0840646796388998,-0.012609701945834969,0.13402956731462573,10000000.0,-126097.01945834969,-0.09408149409476574,9059185.059052343,False,-0.015970432685374264
Worst 1-Month Portfolio Period,Nippon India Small Cap,0.15,-0.095197715973505,-0.01427965739602575,0.1517796622324284,10000000.0,-142796.5739602575,-0.09408149409476574,9059185.059052343,False,0.0017796622324283973
Worst 3-Month Portfolio Period,UTI Nifty 50 Index,0.25,-0.1448069740663682,-0.03620174351659205,0.3024088900421975,10000000.0,-362017.43516592047,-0.11971124100068795,8802887.589993121,True,0.05240889004219751
Worst 3-Month Portfolio Period,ICICI Bluechip,0.2,-0.1341511362742784,-0.026830227254855683,0.22412454361492667,10000000.0,-268302.27254855685,-0.11971124100068795,8802887.589993121,False,0.024124543614926663
Worst 3-Month Portfolio Period,Parag Parikh Flexi Cap,0.25,-0.0997468764086502,-0.02493671910216255,0.20830724745405693,10000000.0,-249367.19102162548,-0.11971124100068795,8802887.589993121,False,-0.04169275254594307
Worst 3-Month Portfolio Period,HDFC Balanced Advantage,0.15,-0.0948100538711127,-0.014221508080666904,0.11879843498226852,10000000.0,-142215.08080666905,-0.11971124100068795,8802887.589993121,False,-0.03120156501773147
Worst 3-Month Portfolio Period,Nippon India Small Cap,0.15,-0.1168069536427384,-0.017521043046410757,0.14636088390655033,10000000.0,-175210.43046410757,-0.11971124100068795,8802887.589993121,False,-0.0036391160934496625
