fund_label_or_benchmark_label,asset_type,source,source_quality,first_date,last_date,observation_count,missing_value_count,duplicate_date_count,suspicious_return_count_gt_10pct,suspicious_return_count_lt_minus_10pct,metadata_verification_status,status
HDFC Balanced Advantage,FUND,MFAPI,API_FETCHED_VERIFIED,2013-01-01,2026-07-03,3322,0,0,0,0,VERIFIED_VIA_MFAPI_METADATA,PASS
ICICI Bluechip,FUND,MFAPI,API_FETCHED_VERIFIED,2013-01-02,2026-07-03,3321,0,0,0,1,VERIFIED_VIA_MFAPI_METADATA,WARNING
Nippon India Small Cap,FUND,MFAPI,API_FETCHED_VERIFIED,2013-01-02,2026-07-03,3320,0,0,0,1,VERIFIED_VIA_MFAPI_METADATA,WARNING
Parag Parikh Flexi Cap,FUND,MFAPI,API_FETCHED_VERIFIED,2013-05-28,2026-07-03,3221,0,0,0,0,VERIFIED_VIA_MFAPI_METADATA,PASS
UTI Nifty 50 Index,FUND,MFAPI,API_FETCHED_VERIFIED,2013-01-02,2026-07-03,3321,0,0,0,1,VERIFIED_VIA_MFAPI_METADATA,WARNING
HYBRID_65_35,BENCHMARK,INTERNAL_SYNTHETIC_BENCHMARK,DISCLOSED_APPROXIMATION,2021-01-01,2026-07-03,1358,0,0,0,0,NOT_APPLICABLE,WARNING
NIFTY100_TRI,BENCHMARK,YFINANCE,PRICE_INDEX_PROXY_NOT_TRI,2021-01-04,2026-07-03,1351,0,0,0,0,NOT_APPLICABLE,WARNING
NIFTY500_TRI,BENCHMARK,YFINANCE,PRICE_INDEX_PROXY_NOT_TRI,2021-01-04,2026-07-03,1351,0,0,0,0,NOT_APPLICABLE,WARNING
NIFTY50_TRI,BENCHMARK,YFINANCE,PRICE_INDEX_PROXY_NOT_TRI,2021-01-01,2026-07-03,1358,0,0,0,0,NOT_APPLICABLE,WARNING
NIFTYSMALLCAP250_TRI,BENCHMARK,INTERNAL_SYNTHETIC_BENCHMARK,DISCLOSED_APPROXIMATION,2021-01-04,2026-07-03,1351,0,0,0,0,NOT_APPLICABLE,WARNING
