date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2013-01-01,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,94.763,MFAPI,CACHE_FRESH
2013-01-02,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,95.483,MFAPI,CACHE_FRESH
2013-01-03,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,95.847,MFAPI,CACHE_FRESH
2013-01-04,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.543,MFAPI,CACHE_FRESH
2013-01-07,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.444,MFAPI,CACHE_FRESH
2013-01-08,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.413,MFAPI,CACHE_FRESH
2013-01-09,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.43,MFAPI,CACHE_FRESH
2013-01-10,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.267,MFAPI,CACHE_FRESH
2013-01-11,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.074,MFAPI,CACHE_FRESH
2013-01-14,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.155,MFAPI,CACHE_FRESH
2013-01-15,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.722,MFAPI,CACHE_FRESH
2013-01-16,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.629,MFAPI,CACHE_FRESH
2013-01-17,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.174,MFAPI,CACHE_FRESH
2013-01-18,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,98.264,MFAPI,CACHE_FRESH
2013-01-21,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,98.645,MFAPI,CACHE_FRESH
2013-01-22,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.849,MFAPI,CACHE_FRESH
2013-01-23,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.442,MFAPI,CACHE_FRESH
2013-01-24,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,95.883,MFAPI,CACHE_FRESH
2013-01-25,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.009,MFAPI,CACHE_FRESH
2013-01-28,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,97.099,MFAPI,CACHE_FRESH
2013-01-29,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.724,MFAPI,CACHE_FRESH
2013-01-30,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.662,MFAPI,CACHE_FRESH
2013-01-31,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.55,MFAPI,CACHE_FRESH
2013-02-01,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,96.401,MFAPI,CACHE_FRESH
2013-02-04,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,95.735,MFAPI,CACHE_FRESH
2013-02-05,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,94.742,MFAPI,CACHE_FRESH
2013-02-06,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,94.793,MFAPI,CACHE_FRESH
2013-02-07,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,94.437,MFAPI,CACHE_FRESH
2013-02-08,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.322,MFAPI,CACHE_FRESH
2013-02-11,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.22,MFAPI,CACHE_FRESH
2013-02-12,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.376,MFAPI,CACHE_FRESH
2013-02-13,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.324,MFAPI,CACHE_FRESH
2013-02-14,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,92.18,MFAPI,CACHE_FRESH
2013-02-15,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,91.891,MFAPI,CACHE_FRESH
2013-02-18,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,92.138,MFAPI,CACHE_FRESH
2013-02-19,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.202,MFAPI,CACHE_FRESH
2013-02-20,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,93.215,MFAPI,CACHE_FRESH
2013-02-21,HDFC Balanced Advantage,118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,91.866,MFAPI,CACHE_FRESH
