date_or_month,fund_label,metric_name,metric_value,frequency
2021-01-01,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-04,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-05,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-06,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-07,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-08,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-11,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-12,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-13,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-14,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-15,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-18,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-19,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-20,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-21,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-22,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-25,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-27,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-28,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-01-29,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-01,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-02,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-03,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-04,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-05,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-08,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-09,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-10,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-11,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-12,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-15,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-16,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-17,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-18,HDFC Balanced Advantage,rolling_126d_vol,,daily
2021-02-19,HDFC Balanced Advantage,rolling_126d_vol,,daily
